(frozenset(['goth']), frozenset(['gay', 'sadistic', 'emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['goth', 'gay']), frozenset(['sadistic', 'emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'gay']), frozenset(['emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'gay']), frozenset(['epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'emo', 'gay']), frozenset(['scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'gay', 'scene']), frozenset(['epic']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'gay']), frozenset(['emo', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'scene', 'gay']), frozenset(['emo']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'scene', 'gay']), frozenset(['emo', 'epic']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay']), frozenset(['sadistic', 'epic', 'scene']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'gay']), frozenset(['sadistic', 'scene']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'gay', 'scene']), frozenset(['sadistic']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay', 'scene']), frozenset(['sadistic', 'epic']), 5, 1.0)
(frozenset(['goth', 'epic', 'gay']), frozenset(['sadistic', 'emo', 'scene']), 5, 1.0)
(frozenset(['goth', 'epic', 'scene', 'gay']), frozenset(['sadistic', 'emo']), 5, 1.0)
(frozenset(['goth', 'scene', 'gay']), frozenset(['sadistic', 'emo', 'epic']), 5, 1.0)
(frozenset(['sadistic', 'goth']), frozenset(['emo', 'epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo']), frozenset(['epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'emo']), frozenset(['scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'emo', 'scene']), frozenset(['gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'scene']), frozenset(['epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic']), frozenset(['emo', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'scene']), frozenset(['emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'scene']), frozenset(['emo', 'epic', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo']), frozenset(['sadistic', 'epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo']), frozenset(['sadistic', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'emo', 'scene']), frozenset(['sadistic', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo', 'scene']), frozenset(['sadistic', 'epic', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic']), frozenset(['sadistic', 'emo', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'scene']), frozenset(['sadistic', 'emo', 'gay']), 5, 1.0)
(frozenset(['goth', 'scene']), frozenset(['sadistic', 'emo', 'epic', 'gay']), 5, 1.0)
(frozenset(['sadistic']), frozenset(['goth', 'gay', 'emo', 'epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'gay']), frozenset(['goth', 'epic', 'emo', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'gay']), frozenset(['goth', 'emo', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'gay']), frozenset(['goth', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'scene', 'gay']), frozenset(['goth']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'scene', 'gay']), frozenset(['goth', 'emo']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'gay']), frozenset(['goth', 'epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'scene', 'gay']), frozenset(['goth', 'epic']), 5, 1.0)
(frozenset(['sadistic', 'scene', 'gay']), frozenset(['goth', 'epic', 'emo']), 5, 1.0)
(frozenset(['sadistic', 'emo']), frozenset(['goth', 'epic', 'gay', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic']), frozenset(['goth', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'scene']), frozenset(['goth', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'scene']), frozenset(['goth', 'epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'epic']), frozenset(['goth', 'emo', 'gay', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'scene']), frozenset(['goth', 'emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'scene']), frozenset(['goth', 'epic', 'emo', 'gay']), 5, 1.0)
(frozenset(['epic']), frozenset(['goth', 'gay', 'sadistic', 'emo', 'scene']), 5, 1.0)
(frozenset(['epic', 'gay']), frozenset(['sadistic', 'goth', 'emo', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic', 'gay']), frozenset(['sadistic', 'goth', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic', 'scene', 'gay']), frozenset(['sadistic', 'goth']), 5, 1.0)
(frozenset(['epic', 'scene', 'gay']), frozenset(['sadistic', 'goth', 'emo']), 5, 1.0)
(frozenset(['emo', 'epic']), frozenset(['sadistic', 'goth', 'gay', 'scene']), 5, 1.0)
(frozenset(['emo', 'epic', 'scene']), frozenset(['sadistic', 'goth', 'gay']), 5, 1.0)
(frozenset(['epic', 'scene']), frozenset(['sadistic', 'goth', 'emo', 'gay']), 5, 1.0)
(frozenset(['sadistic']), frozenset(['goth', 'emo', 'gay', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth']), frozenset(['emo', 'gay', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo']), frozenset(['scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'scene']), frozenset(['gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'emo', 'gay']), frozenset(['scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'gay']), frozenset(['emo', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'scene', 'gay']), frozenset(['emo']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'scene']), frozenset(['emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo']), frozenset(['goth', 'gay', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'gay']), frozenset(['goth', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'scene', 'gay']), frozenset(['goth']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'scene']), frozenset(['goth', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'gay']), frozenset(['goth', 'emo', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'scene', 'gay']), frozenset(['goth', 'emo']), 5, 1.0)
(frozenset(['sadistic', 'scene']), frozenset(['goth', 'emo', 'gay']), 5, 1.0)
(frozenset(['goth']), frozenset(['sadistic', 'emo', 'gay', 'scene']), 5, 1.0)
(frozenset(['goth', 'emo']), frozenset(['sadistic', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo', 'scene']), frozenset(['sadistic', 'gay']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay', 'scene']), frozenset(['sadistic']), 5, 1.0)
(frozenset(['goth', 'emo', 'gay']), frozenset(['sadistic', 'scene']), 5, 1.0)
(frozenset(['goth', 'gay']), frozenset(['sadistic', 'emo', 'scene']), 5, 1.0)
(frozenset(['goth', 'scene', 'gay']), frozenset(['sadistic', 'emo']), 5, 1.0)
(frozenset(['goth', 'scene']), frozenset(['sadistic', 'emo', 'gay']), 5, 1.0)
(frozenset(['sadistic']), frozenset(['goth', 'epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth']), frozenset(['epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic']), frozenset(['scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'scene']), frozenset(['gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'epic', 'gay']), frozenset(['scene']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'scene']), frozenset(['epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'scene', 'gay']), frozenset(['epic']), 5, 1.0)
(frozenset(['sadistic', 'goth', 'gay']), frozenset(['epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'epic']), frozenset(['goth', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'scene']), frozenset(['goth', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'scene', 'gay']), frozenset(['goth']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'gay']), frozenset(['goth', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'scene']), frozenset(['goth', 'epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'scene', 'gay']), frozenset(['goth', 'epic']), 5, 1.0)
(frozenset(['sadistic', 'gay']), frozenset(['goth', 'epic', 'scene']), 5, 1.0)
(frozenset(['goth']), frozenset(['sadistic', 'epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic']), frozenset(['sadistic', 'scene', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'scene']), frozenset(['sadistic', 'gay']), 5, 1.0)
(frozenset(['goth', 'epic', 'scene', 'gay']), frozenset(['sadistic']), 5, 1.0)
(frozenset(['goth', 'epic', 'gay']), frozenset(['sadistic', 'scene']), 5, 1.0)
(frozenset(['goth', 'scene']), frozenset(['sadistic', 'epic', 'gay']), 5, 1.0)
(frozenset(['goth', 'scene', 'gay']), frozenset(['sadistic', 'epic']), 5, 1.0)
(frozenset(['goth', 'gay']), frozenset(['sadistic', 'epic', 'scene']), 5, 1.0)
(frozenset(['epic']), frozenset(['sadistic', 'goth', 'scene', 'gay']), 5, 1.0)
(frozenset(['epic', 'scene']), frozenset(['sadistic', 'goth', 'gay']), 5, 1.0)
(frozenset(['epic', 'scene', 'gay']), frozenset(['sadistic', 'goth']), 5, 1.0)
(frozenset(['epic', 'gay']), frozenset(['sadistic', 'goth', 'scene']), 5, 1.0)
(frozenset(['sadistic']), frozenset(['emo', 'epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo']), frozenset(['epic', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic']), frozenset(['scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'scene']), frozenset(['gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'epic', 'gay']), frozenset(['scene']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'scene']), frozenset(['epic', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'scene', 'gay']), frozenset(['epic']), 5, 1.0)
(frozenset(['sadistic', 'emo', 'gay']), frozenset(['epic', 'scene']), 5, 1.0)
(frozenset(['sadistic', 'epic']), frozenset(['emo', 'scene', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'scene']), frozenset(['emo', 'gay']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'scene', 'gay']), frozenset(['emo']), 5, 1.0)
(frozenset(['sadistic', 'epic', 'gay']), frozenset(['emo', 'scene']), 5, 1.0)
